BLA,BLP,LU,MABH,BN,FAR,BD,HBN,AHBH,ABH,DHBH,ABF,CL,RBS,HBFR,BL,SBLU,SLR
3237.387,261.35,B,18.0,2,3.819872014065665,0.954968003516416,0,0.0,18.0,0.0,1545.8005,0.567190275247783,0.99999999995,0.0,0.208595610792792,B,primary
6847.499,366.336,B,18.0,5,5.38622466392474,1.346556165981185,0,0.0,18.0,0.0,1844.1083999999998,0.567266801452775,0.99999999998,0.0,0.037266725278701,"B, G","primary, residential"
4685.803,278.215,B,36.0,5,6.109486677096753,1.124132192497209,0,0.0,20.4,0.0,1053.4923999999999,0.321807602296874,0.99999999998,0.0,0.449956619328136,"B, G","tertiary, residential"
5775.108,309.665,B,100.0,3,12.176649163963688,0.661967014296529,1,100.0,39.666666666666664,0.0,1274.3103333333333,0.391524243892388,0.999999999966667,1.0,0.352912107898273,"B, G","tertiary, residential"
3987.897,257.917,B,100.0,1,12.687994699963413,0.576727031816519,1,100.0,100.0,0.0,2299.928,0.222947703989299,0.9999999999,1.0,0.286700026973474,"B, G","tertiary, residential"
4730.799,281.942,B,18.0,5,3.86675062711394,0.966687656778485,0,0.0,18.0,0.0,914.641,0.57890624935068,0.99999999998,0.0,0.235021696187333,"B, G","tertiary, residential"
26985.778,672.463,B,18.0,22,2.194175317087393,0.553718740293498,0,0.0,15.681818181818182,0.0,679.2059545454545,0.524403017401303,0.454545454543388,0.0,0.158647537071673,"B, G, U","primary, tertiary, residential"
12777.056,520.153,B,18.0,5,3.487938849137078,0.876186736600356,0,0.0,17.2,0.0,2239.0173999999997,0.476302696602687,0.99999999998,0.0,0.017428298758689,"B, G","primary, tertiary, residential"
30095.741,709.425,B,18.0,6,1.896091809136715,0.474022952284179,0,0.0,18.0,0.0,2377.6786666666667,0.0,0.0,0.0,0.086817087756765,G,"primary, tertiary, residential"
4012.511,265.203,B,100.0,4,14.571031705582865,0.889927529170637,4,75.75,75.75,14.148763196831021,892.711,0.646227217091354,0.999999999975,1.0,0.147477488277232,"B, R","primary, tertiary"
17755.84,607.777,B,66.0,4,6.955850863715826,0.920871273901995,1,66.0,34.5,0.0,4087.71075,0.466349279963069,0.74999999998125,0.0,0.224186106079928,"B, G, R","primary, tertiary"
4528.671,272.711,B,18.0,18,2.608378484548779,0.652094621137195,0,0.0,18.0,0.0,164.06233333333336,0.509966985971403,0.611111111107716,0.0,0.344268468069078,"B, G","tertiary, residential"
4595.742,278.213,B,100.0,2,7.799838415646483,0.678322020687845,1,100.0,56.0,0.0,1558.6965,0.393360498288202,0.99999999995,1.0,0.217938282287477,"B, G","tertiary, residential"
6753.098,339.233,B,100.0,2,16.061897517258004,0.730086250784455,2,100.0,100.0,0.0,2465.172,0.389062876898901,0.99999999995,1.0,0.139836245241463,"B, G","tertiary, residential"
8274.538,396.514,B,66.0,8,3.31841342682818,0.818844024886948,3,66.0,36.0,0.0,846.9445000000001,0.62176949302443,0.9999999999875,1.0,0.046509596759065,"B, G","tertiary, residential"
4060.846,274.336,B,18.0,1,2.189021696464235,0.547255424116059,0,0.0,18.0,0.0,2222.32,0.40366913335548,0.9999999999,0.0,0.134099164445027,"B, R","trunk, primary"
5413.339,404.952,B,190.0,3,2.466018108232276,0.580661953740566,1,190.0,75.33333333333333,0.0,1047.7733333333333,0.328971843658391,0.999999999966667,1.0,0.433339160555962,B,"tertiary, residential"
3628.674,245.146,B,63.0,4,5.359975296761296,0.722838700858771,3,61.0,50.25,2.82842712474619,655.7365,0.528374859230785,0.999999999975,1.0,0.345619164272912,"B, G",residential
3572.637,243.298,B,100.0,2,7.32012880121882,0.77392161588205,1,100.0,56.0,0.0,1382.4705,0.519553413578716,0.99999999995,1.0,0.217840900997225,"B, G",residential
5508.381,315.364,B,18.0,2,3.503714067708824,0.875928516927206,0,0.0,18.0,0.0,2412.474,0.745467712038882,0.99999999995,0.0,0.13869100944206,"B, G",residential
6518.701,365.263,B,18.0,3,2.746245302553377,0.686561325638344,0,0.0,18.0,0.0,1491.8293333333334,0.35907185087014,0.999999999966667,0.0,0.043831541158328,"B, G",residential
11447.202,567.49,B,18.0,2,1.008166012969807,0.252041503242452,0,0.0,18.0,0.0,1442.585,0.109806650007568,0.99999999995,0.0,0.198407666401824,"B, G, R",tertiary
4378.354,382.688,B,100.0,3,12.19282817241365,0.554219462382439,3,100.0,100.0,0.0,808.8563333333333,0.477010191263266,0.999999999966667,1.0,0.291249975651304,"A, B, G, R",tertiary
5425.973,320.949,B,18.0,3,3.545581962903243,0.886395490725811,0,0.0,18.0,0.0,1603.186,0.579674859004062,0.999999999966667,0.0,0.352771182747766,"B, G","tertiary, residential"
4573.573,287.683,B,18.0,2,3.371162983514203,0.842790745878551,0,0.0,18.0,0.0,1927.2825000000003,0.609461833189781,0.99999999995,0.0,0.238464141363819,"B, G",residential
5592.373,320.928,B,18.0,4,1.992501573124683,0.498125393281171,0,0.0,18.0,0.0,696.42575,0.278968668435309,0.999999999975,0.0,0.146217430441739,"B, G",residential
4542.157,280.269,B,18.0,3,1.953028924363469,0.488257231090867,0,0.0,18.0,0.0,739.247,0.1670990802911,0.999999999966667,0.0,0.083173669806998,"B, G",residential
3555.617,250.699,B,42.0,2,1.470057939311236,0.353138991066811,0,0.0,30.0,0.0,627.8135000000001,0.122862459479456,0.99999999995,0.0,0.044942597714566,B,residential
14130.768,647.199,B,253.0,4,8.6853934619831,0.324966767552903,4,138.25,138.25,66.25094338950956,1148.0075,0.203969628845182,0.74999999998125,0.75,0.17939988465335,B,trunk
